t_i,t_m,t_r,t_p,i_m,i_r,i_p,m_r,m_p,r_p,thumb,index,middle,ring,pinky,label
50.80354318352215,70.26378868236469,85.07055894961546,101.11874208078342,23.021728866442675,40.19950248448356,60.876925020897694,17.26267650163207,38.62641583165593,21.95449840010015,99.15644204992432,19.4164878389476,28.442925306655784,30.01666203960727,22.47220505424423,a
50.24937810560445,71.5122367151245,88.05679985100527,96.51942809610924,24.020824298928627,42.1070065428546,55.362442142665635,18.110770276274835,32.64965543462902,17.029386365926403,98.35141076771599,14.035668847618199,23.345235059857504,26.0,24.041630560342615,a
47.50789408087881,68.00735254367721,85.14693182963201,94.19129471453293,23.021728866442675,42.2965719651132,55.97320787662612,19.4164878389476,34.48187929913333,17.029386365926403,94.92101980067429,9.055385138137417,19.235384061671343,22.02271554554524,22.80350850198276,a
44.294469180700204,66.40783086353596,82.0,91.08786966440702,24.0,41.10960958218893,54.70831746635972,17.26267650163207,32.7566787083184,17.804493814764857,92.84934033152847,8.0,18.439088914585774,23.021728866442675,22.80350850198276,a
41.677331968349414,63.56886030125127,80.049984384758,89.05054744357274,24.0,42.1070065428546,55.97320787662612,18.24828759089466,34.132096331752024,18.601075237738275,90.78546139112804,8.0,19.6468827043885,24.020824298928627,21.93171219946131,a
47.70744176750625,67.06713054842886,84.40379138403677,93.1933474020544,23.194827009486403,42.42640687119285,56.64803615307419,19.235384061671343,34.48187929913333,17.804493814764857,96.33275663033837,9.055385138137417,18.439088914585774,23.021728866442675,22.67156809750927,a
45.803929962395145,66.12866246946176,84.64632301523794,94.19129471453293,25.317977802344327,45.39823785126467,60.74537019394976,20.09975124224178,36.235341863986875,19.209372712298546,99.15644204992432,10.44030650891055,18.439088914585774,25.019992006393608,22.20360331117452,a
51.03920062069938,68.35202996254024,86.83317338436964,96.33275663033837,22.561028345356956,42.579337712087536,57.9396237474839,20.09975124224178,35.77708763999664,18.439088914585774,103.32473082471591,13.038404810405298,20.396078054371138,26.019223662515376,23.600847442411894,a
51.86520991955976,69.6419413859206,88.05679985100527,99.32270636667126,22.360679774997898,42.42640687119285,59.80802621722272,20.09975124224178,38.01315561749642,20.518284528683193,105.47511554864494,14.0,22.360679774997898,28.0178514522438,22.47220505424423,a
52.43090691567332,69.6419413859206,89.98888820293314,102.39628899525607,22.561028345356956,44.553338819890925,62.625873247404705,22.090722034374522,40.311288741492746,20.518284528683193,108.97706180660222,15.132745950421556,22.561028345356956,28.160255680657446,22.360679774997898,a
52.478567053607705,72.44998274671983,93.86160024205851,105.47511554864494,23.08679276123039,46.17358552246078,62.36184731067546,23.08679276123039,39.92492955535426,19.1049731745428,109.60383204979651,14.142135623730951,23.53720459187964,29.427877939124322,24.166091947189145,a
53.85164807134504,74.33034373659252,94.59386872308374,106.38138934982942,24.186773244895647,46.389654018972806,62.93647591023825,22.20360331117452,39.395431207184416,19.1049731745428,108.2081327812286,13.152946437965905,22.80350850198276,27.294688127912362,22.360679774997898,a
50.24937810560445,73.37574531137656,93.17188417113823,107.16809226630845,27.294688127912362,48.373546489791295,67.05221845696084,21.095023109728988,40.311288741492746,21.2602916254693,106.21675950620975,12.0,21.18962010041709,27.459060435491963,20.248456731316587,a
53.33854141237835,75.8946638440411,97.51410154434076,111.44954015158609,26.1725046566048,49.25444142409901,67.1863081289633,23.08679276123039,41.43669871020132,20.0,109.65856099730654,10.0,19.924858845171276,25.495097567963924,20.248456731316587,a
53.33854141237835,75.8946638440411,95.56673061269805,110.54863183232979,26.1725046566048,47.265209192385896,65.96969000988257,21.095023109728988,40.162171256046406,20.248456731316587,107.5174404457249,11.045361017187261,19.924858845171276,25.317977802344327,20.248456731316587,a
55.226805085936306,75.96051605933177,95.60334722173695,111.01801655587259,24.08318915758459,45.09988913511872,64.53681120105021,21.02379604162864,40.80441152620633,21.095023109728988,108.2081327812286,12.041594578792296,20.615528128088304,26.1725046566048,21.18962010041709,a
57.8013840664737,76.96752561957543,96.13532129243653,109.48972554536796,24.186773244895647,45.17742799230607,64.28841264178172,21.02379604162864,40.496913462633174,21.400934559032695,109.04127658827184,15.132745950421556,21.587033144922902,27.073972741361768,21.02379604162864,a
58.60034129593445,78.29431652425353,96.13532129243653,107.8702924812944,24.08318915758459,44.181444068749045,60.876925020897694,20.09975124224178,37.33630940518894,18.601075237738275,110.5350623105628,15.132745950421556,23.345235059857504,27.0,24.413111231467404,a
57.0087712549569,76.92203845452875,97.14422267947796,110.02272492535349,24.020824298928627,46.010868281309364,64.53681120105021,22.0,41.10960958218893,21.400934559032695,112.92918134831227,15.297058540778355,23.194827009486403,29.0,23.323807579381203,a
57.8013840664737,77.38862965578342,99.02019995940222,113.95174417269794,24.08318915758459,47.01063709417264,67.468511173732,23.021728866442675,43.68065933568311,23.021728866442675,115.10864433221339,15.524174696260024,22.20360331117452,27.0,19.72308292331602,a
57.0087712549569,77.82030583337487,100.30453628824571,115.31695452100702,25.019992006393608,49.0,69.05070600652827,24.020824298928627,44.384682042344295,22.47220505424423,116.51609330903607,16.492422502470642,24.331050121192877,29.017236257093817,21.470910553583888,a
57.62811813689564,77.3692445355388,101.01980003939822,116.92732785794773,24.020824298928627,49.01020301937138,69.72087205421343,25.079872407968907,45.89117562233506,22.825424421026653,118.84864324004712,18.681541692269406,25.179356624028344,30.01666203960727,22.360679774997898,a
57.62811813689564,76.92203845452875,100.08995953640904,115.95257651298655,24.08318915758459,48.010415536631214,68.73136110975832,24.186773244895647,44.721359549995796,22.825424421026653,117.61377470347595,17.72004514666935,23.194827009486403,29.017236257093817,21.633307652783937,a
56.85068161420758,78.77182237323191,99.92497185388645,113.26517558367179,25.079872407968907,48.093658625644196,66.61080993352356,23.021728866442675,42.44997055358225,21.633307652783937,114.40279716860073,14.317821063276353,23.53720459187964,27.018512172212592,20.615528128088304,a
57.62811813689564,80.52949770115296,100.46392387319938,113.50770898930169,26.076809620810597,48.041648597857254,65.49045732013177,22.0,40.26164427839479,19.72308292331602,113.4063490286148,14.866068747318506,23.53720459187964,25.019992006393608,20.518284528683193,a
49.51767361255979,71.19691004531025,89.15716460273958,103.32473082471591,26.019223662515376,46.010868281309364,64.4980619863884,20.0,39.05124837953327,20.12461179749811,108.00462953040486,9.0,19.1049731745428,23.194827009486403,21.93171219946131,a
